context,question,answers,topic_lda,question_class,generated_answer,bert_f1
"Like any plucked instrument, mandolin notes decay to silence rather than sound out continuously as with a bowed note on a violin, and mandolin notes decay faster than larger stringed instruments like the guitar. This encourages the use of tremolo (rapid picking of one or more pairs of strings) to create sustained notes or chords. The mandolin's paired strings facilitate this technique: the plectrum (pick) strikes each of a pair of strings alternately, providing a more full and continuous sound than a single string would.",Do mandolin notes decay faster or slower than larger string instruments?,faster,1,DESC,Faster,0.9981021881103516
"Some devices, such as high-speed external disk drives, require more than 500 mA of current and therefore may have power issues if powered from just one USB 2.0 port: erratic function, failure to function, or overloading/damaging the port. Such devices may come with an external power source or a Y-shaped cable that has two USB connectors (one for power and data, the other for power only) to plug into a computer. With such a cable, a device can draw power from two USB ports simultaneously. However, USB compliance specification states that ""use of a 'Y' cable (a cable with two A-plugs) is prohibited on any USB peripheral"", meaning that ""if a USB peripheral requires more power than allowed by the USB specification to which it is designed, then it must be self-powered.""",What is an example of a device that requires more than 500 mA of current?,high-speed external disk drives,1,DESC,Battery chargers,0.8556947112083435
"The brushless wound-rotor synchronous doubly-fed (BWRSDF) machine is the only electric machine with a truly dual ported transformer circuit topology (i.e., both ports independently excited with no short-circuited port). The dual ported transformer circuit topology is known to be unstable and requires a multiphase slip-ring-brush assembly to propagate limited power to the rotor winding set. If a precision means were available to instantaneously control torque angle and slip for synchronous operation during motoring or generating while simultaneously providing brushless power to the rotor winding set, the active current of the BWRSDF machine would be independent of the reactive impedance of the transformer circuit and bursts of torque significantly higher than the maximum operating torque and far beyond the practical capability of any other type of electric machine would be realizable. Torque bursts greater than eight times operating torque have been calculated.",What is the only device with dual ported transformer circuit topology?,brushless wound-rotor,1,DESC,BWRSDF machine,0.8040194511413574
"Nonvascular land plants are embryophytes that lack the vascular tissues xylem and phloem. They include mosses, liverworts and hornworts. Pteridophytic vascular plants with true xylem and phloem that reproduced by spores germinating into free-living gametophytes evolved during the Silurian period and diversified into several lineages during the late Silurian and early Devonian. Representatives of the lycopods have survived to the present day. By the end of the Devonian period, several groups, including the lycopods, sphenophylls and progymnosperms, had independently evolved ""megaspory"" – their spores were of two distinct sizes, larger megaspores and smaller microspores. Their reduced gametophytes developed from megaspores retained within the spore-producing organs (megasporangia) of the sporophyte, a condition known as endospory. Seeds consist of an endosporic megasporangium surrounded by one or two sheathing layers (integuments). The young sporophyte develops within the seed, which on germination splits to release it. The earliest known seed plants date from the latest Devonian Famennian stage. Following the evolution of the seed habit, seed plants diversified, giving rise to a number of now-extinct groups, including seed ferns, as well as the modern gymnosperms and angiosperms. Gymnosperms produce ""naked seeds"" not fully enclosed in an ovary; modern representatives include conifers, cycads, Ginkgo, and Gnetales. Angiosperms produce seeds enclosed in a structure such as a carpel or an ovary. Ongoing research on the molecular phylogenetics of living plants appears to show that the angiosperms are a sister clade to the gymnosperms.",What protects the young plant in the seed?,one or two sheathing layers,1,ENTY,Seed coat,0.8476685881614685
"There are dozens of other chemical neurotransmitters that are used in more limited areas of the brain, often areas dedicated to a particular function. Serotonin, for example—the primary target of antidepressant drugs and many dietary aids—comes exclusively from a small brainstem area called the Raphe nuclei. Norepinephrine, which is involved in arousal, comes exclusively from a nearby small area called the locus coeruleus. Other neurotransmitters such as acetylcholine and dopamine have multiple sources in the brain, but are not as ubiquitously distributed as glutamate and GABA.",Antidepressants typically affect what chemical of the brain?,Serotonin,1,ENTY,Serotonin,1.0000001192092896
"In 1931, RCA Victor introduced their vinyl-based Victrolac compound as a material for some unusual-format and special-purpose records. By the end of the 1930s vinyl's advantages of light weight, relative unbreakability and low surface noise had made it the material of choice for prerecorded radio programming and other critical applications. When it came to ordinary 78 rpm records, however, the much higher cost of the raw material, as well as its vulnerability to the heavy pickups and crudely mass-produced steel needles still commonly used in home record players, made its general substitution for shellac impractical at that time. During the Second World War, the United States Armed Forces produced thousands of 12-inch vinyl 78 rpm V-Discs for use by the troops overseas. After the war, the wider use of vinyl became more practical as new record players with relatively lightweight crystal pickups and precision-ground styli made of sapphire or an exotic osmium alloy proliferated. In late 1945, RCA Victor began offering special transparent red vinyl De Luxe pressings of some classical 78s, at a de luxe price. Later, Decca Records introduced vinyl Deccalite 78s, while other record companies came up with vinyl concoctions such as Metrolite, Merco Plastic and Sav-o-flex, but these were mainly used to produce ""unbreakable"" children's records and special thin vinyl DJ pressings for shipment to radio stations.",What was a downfall of ordinary 78 rpm vinyls in household house?,higher cost,1,ENTY,Shellac composition,0.8439347743988037
"With house music already massive on the '80s dance-scene it was only a matter of time before it would penetrate the UK pop charts.[citation needed] The record generally credited as the first house hit in the UK was Farley ""Jackmaster"" Funk's ""Love Can't Turn Around"" which reached #10 in the UK singles chart in September 1986.","what did ""Love Can't Turn Around"" peak at in the UK charts?",#10,1,ENTY,#10,1.0
"So an additional problem beyond canceling the unwanted reactance is of matching the remaining resistive impedance to the characteristic impedance of the transmission line. In principle this can always be done with a transformer, however the turns ratio of a transformer is not adjustable. A general matching network with at least two adjustments can be made to correct both components of impedance. Matching networks using discrete inductors and capacitors will have losses associated with those components, and will have power restrictions when used for transmitting. Avoiding these difficulties, commercial antennas are generally designed with fixed matching elements or feeding strategies to get an approximate match to standard coax, such as 50 or 75 Ohms. Antennas based on the dipole (rather than vertical antennas) should include a balun in between the transmission line and antenna element, which may be integrated into any such matching network.",A balun should be integrated into what?,matching network,1,ENTY,antenna system,0.9423178434371948
"The term ""post-punk"" was first used by journalists in the late 1970s to describe groups moving beyond punk's sonic template into disparate areas. Many of these artists, initially inspired by punk's DIY ethic and energy, ultimately became disillusioned with the style and movement, feeling that it had fallen into commercial formula, rock convention and self-parody. They repudiated its populist claims to accessibility and raw simplicity, instead seeing an opportunity to break with musical tradition, subvert commonplaces and challenge audiences. Artists moved beyonds punk's focus on the concerns of a largely white, male, working class population and abandoned its continued reliance on established rock and roll tropes, such as three-chord progressions and Chuck Berry-based guitar riffs. These artists instead defined punk as ""an imperative to constant change"", believing that ""radical content demands radical form"".","What dis the new term, post-punk, cover?",groups moving beyond punk's sonic template into disparate areas,1,ENTY,Heterogeneous rock music,0.8442810773849487
"By the 1890s the profound effect of adrenal extracts on many different tissue types had been discovered, setting off a search both for the mechanism of chemical signalling and efforts to exploit these observations for the development of new drugs. The blood pressure raising and vasoconstrictive effects of adrenal extracts were of particular interest to surgeons as hemostatic agents and as treatment for shock, and a number of companies developed products based on adrenal extracts containing varying purities of the active substance. In 1897 John Abel of Johns Hopkins University identified the active principle as epinephrine, which he isolated in an impure state as the sulfate salt. Industrial chemist Jokichi Takamine later developed a method for obtaining epinephrine in a pure state, and licensed the technology to Parke Davis. Parke Davis marketed epinephrine under the trade name Adrenalin. Injected epinephrine proved to be especially efficacious for the acute treatment of asthma attacks, and an inhaled version was sold in the United States until 2011 (Primatene Mist). By 1929 epinephrine had been formulated into an inhaler for use in the treatment of nasal congestion.",Who first discovered epinephrine?,John Abel,1,HUM,John Abel,0.9999997615814209
"In the film Knute Rockne, All American, Knute Rockne (played by Pat O'Brien) delivers the famous ""Win one for the Gipper"" speech, at which point the background music swells with the ""Notre Dame Victory March"". George Gipp was played by Ronald Reagan, whose nickname ""The Gipper"" was derived from this role. This scene was parodied in the movie Airplane! with the same background music, only this time honoring George Zipp, one of Ted Striker's former comrades. The song also was prominent in the movie Rudy, with Sean Astin as Daniel ""Rudy"" Ruettiger, who harbored dreams of playing football at the University of Notre Dame despite significant obstacles.",Who starred as Daniel Ruettiger in the film Rudy?,Sean Astin,1,HUM,Sean Astin,0.9999998807907104
"DVB created first the standard for DVB-S digital satellite TV, DVB-C digital cable TV and DVB-T digital terrestrial TV. These broadcasting systems can be used for both SDTV and HDTV. In the US the Grand Alliance proposed ATSC as the new standard for SDTV and HDTV. Both ATSC and DVB were based on the MPEG-2 standard, although DVB systems may also be used to transmit video using the newer and more efficient H.264/MPEG-4 AVC compression standards. Common for all DVB standards is the use of highly efficient modulation techniques for further reducing bandwidth, and foremost for reducing receiver-hardware and antenna requirements.","Who created the standard for DVB-2, DVB-C, and DVB-T?",DVB,1,HUM,DVB,1.0
"According to archaeologists and anthropologists, the earliest clothing likely consisted of fur, leather, leaves, or grass that were draped, wrapped, or tied around the body. Knowledge of such clothing remains inferential, since clothing materials deteriorate quickly compared to stone, bone, shell and metal artifacts. Archeologists have identified very early sewing needles of bone and ivory from about 30,000 BC, found near Kostenki, Russia in 1988. Dyed flax fibers that could have been used in clothing have been found in a prehistoric cave in the Republic of Georgia that date back to 36,000 BP.","Who has identified needles from about 30,000 B.C.?",Archeologists,1,HUM,Archaeologists,0.9982712268829346
"Despite being an original story, Spectre draws on Ian Fleming's source material, most notably in the character of Franz Oberhauser, played by Christoph Waltz. Oberhauser shares his name with Hannes Oberhauser, a background character in the short story ""Octopussy"" from the Octopussy and The Living Daylights collection, and who is named in the film as having been a temporary legal guardian of a young Bond in 1983. Similarly, Charmian Bond is shown to have been his full-time guardian, observing the back story established by Fleming. With the acquisition of the rights to Spectre and its associated characters, screenwriters Neal Purvis and Robert Wade revealed that the film would provide a minor retcon to the continuity of the previous films, with the Quantum organisation alluded to in Casino Royale and introduced in Quantum of Solace reimagined as a division within Spectre rather than an independent organisation.",Which group in previous Bond films was changed to be a part of Spectre instead of its own entity?,Quantum,1,HUM,Quantum,1.000000238418579
"Following the disbandment of Destiny's Child in June 2005, she released her second solo album, B'Day (2006), which contained hits ""Déjà Vu"", ""Irreplaceable"", and ""Beautiful Liar"". Beyoncé also ventured into acting, with a Golden Globe-nominated performance in Dreamgirls (2006), and starring roles in The Pink Panther (2006) and Obsessed (2009). Her marriage to rapper Jay Z and portrayal of Etta James in Cadillac Records (2008) influenced her third album, I Am... Sasha Fierce (2008), which saw the birth of her alter-ego Sasha Fierce and earned a record-setting six Grammy Awards in 2010, including Song of the Year for ""Single Ladies (Put a Ring on It)"". Beyoncé took a hiatus from music in 2010 and took over management of her career; her fourth album 4 (2011) was subsequently mellower in tone, exploring 1970s funk, 1980s pop, and 1990s soul. Her critically acclaimed fifth studio album, Beyoncé (2013), was distinguished from previous releases by its experimental production and exploration of darker themes.",Who is Beyoncé married to?,Jay Z,1,HUM,Jay Z,1.0000001192092896
"Emotions can motivate social interactions and relationships and therefore are directly related with basic physiology, particularly with the stress systems. This is important because emotions are related to the anti-stress complex, with an oxytocin-attachment system, which plays a major role in bonding. Emotional phenotype temperaments affect social connectedness and fitness in complex social systems (Kurt Kortschal 2013). These characteristics are shared with other species and taxa and are due to the effects of genes and their continuous transmission. Information that is encoded in the DNA sequences provides the blueprint for assembling proteins that make up our cells. Zygotes require genetic information from their parental germ cells, and at every speciation event, heritable traits that have enabled its ancestor to survive and reproduce successfully are passed down along with new traits that could be potentially beneficial to the offspring. In the five million years since the linages leading to modern humans and chimpanzees split, only about 1.2% of their genetic material has been modified. This suggests that everything that separates us from chimpanzees must be encoded in that very small amount of DNA, including our behaviors. Students that study animal behaviors have only identified intraspecific examples of gene-dependent behavioral phenotypes. In voles (Microtus spp.) minor genetic differences have been identified in a vasopressin receptor gene that corresponds to major species differences in social organization and the mating system (Hammock & Young 2005). Another potential example with behavioral differences is the FOCP2 gene, which is involved in neural circuitry handling speech and language (Vargha-Khadem et al. 2005). Its present form in humans differed from that of the chimpanzees by only a few mutations and has been present for about 200,000 years, coinciding with the beginning of modern humans (Enard et al. 2002). Speech, language, and social organization are all part of the basis for emotions.",From where do zygotes derive their genetic information?,their parental germ cells,1,LOC,Parents,0.8423229455947876
"Marvel counts among its characters such well-known superheroes as Spider-Man, Iron Man, Captain America, Wolverine, Thor, Hulk, Ant-Man, such teams as the Avengers, the Guardians of the Galaxy, the Fantastic Four, the Inhumans and the X-Men, and antagonists such as Doctor Doom, The Enchantress, Green Goblin, Ultron, Doctor Octopus, Thanos, Magneto and Loki. Most of Marvel's fictional characters operate in a single reality known as the Marvel Universe, with locations that mirror real-life cities. Characters such as Spider-Man, the Fantastic Four, the Avengers, Daredevil and Doctor Strange are based in New York City, whereas the X-Men have historically been based in Salem Center, New York and Hulk's stories often have been set in the American Southwest.",Spiderman's fictional city is based off what real American location?,New York,1,LOC,New York City,0.9456026554107666
"Shuman built the world’s first solar thermal power station in Maadi, Egypt, between 1912 and 1913. Shuman’s plant used parabolic troughs to power a 45–52 kilowatts (60–70 hp) engine that pumped more than 22,000 litres (4,800 imp gal; 5,800 US gal) of water per minute from the Nile River to adjacent cotton fields. Although the outbreak of World War I and the discovery of cheap oil in the 1930s discouraged the advancement of solar energy, Shuman’s vision and basic design were resurrected in the 1970s with a new wave of interest in solar thermal energy. In 1916 Shuman was quoted in the media advocating solar energy's utilization, saying:",Where did Shuman build the world's first solar thermal power station?,"Maadi, Egypt",1,LOC,"Maadi, Egypt",0.9999998807907104
"Earth was initially molten due to extreme volcanism and frequent collisions with other bodies. Eventually, the outer layer of the planet cooled to form a solid crust when water began accumulating in the atmosphere. The Moon formed soon afterwards, possibly as the result of a Mars-sized object with about 10% of the Earth's mass impacting the planet in a glancing blow. Some of this object's mass merged with the Earth, significantly altering its internal composition, and a portion was ejected into space. Some of the material survived to form an orbiting moon. Outgassing and volcanic activity produced the primordial atmosphere. Condensing water vapor, augmented by ice delivered from comets, produced the oceans.",The initial state of earth was what?,molten,1,LOC,Molten,0.8405560851097107
"A transistor is a semiconductor device used to amplify or switch electronic signals and electrical power. It is composed of semiconductor material with at least three terminals for connection to an external circuit. A voltage or current applied to one pair of the transistor's terminals changes the current through another pair of terminals. Because the controlled (output) power can be higher than the controlling (input) power, a transistor can amplify a signal. Today, some transistors are packaged individually, but many more are found embedded in integrated circuits.",Where are most transistors found?,embedded in integrated circuits,1,LOC,Electronic devices,0.8685102462768555
"At Live Aid, held at Wembley on 13 July 1985, in front of the biggest-ever TV audience of 1.9 billion, Queen performed some of their greatest hits, during which the sold-out stadium audience of 72,000 people clapped, sang, and swayed in unison. The show's organisers, Bob Geldof and Midge Ure, other musicians such as Elton John, Cliff Richard and Dave Grohl, and music journalists writing for the BBC, CNN, Rolling Stone, MTV, The Telegraph among others, stated that Queen stole the show. An industry poll in 2005 ranked it the greatest rock performance of all time. Mercury's powerful, sustained note during the a cappella section came to be known as ""The Note Heard Round the World"".",Where was Live Aid held?,Wembley,1,LOC,Wembley Stadium,0.8563135266304016
"In order to view MUSE encoded discs, it was necessary to have a MUSE decoder in addition to a compatible player. There are televisions with MUSE decoding built-in and set top tuners with decoders that can provide the proper MUSE input. Equipment prices were high, especially for early HDTVs which generally eclipsed US$10,000, and even in Japan the market for MUSE was tiny. Players and discs were never officially sold in North America, although several distributors imported MUSE discs along with other import titles. Terminator 2: Judgment Day, Lawrence of Arabia, A League of Their Own, Bugsy, Close Encounters of the Third Kind, Bram Stoker's Dracula and Chaplin were among the theatrical releases available on MUSE LDs. Several documentaries, including one about Formula One at Japan's Suzuka Circuit were also released.",What was the price for early HDTVs?,"US$10,000",1,NUM,"$10,000",0.9314157366752625
"Alleles at a locus may be dominant or recessive; dominant alleles give rise to their corresponding phenotypes when paired with any other allele for the same trait, whereas recessive alleles give rise to their corresponding phenotype only when paired with another copy of the same allele. For example, if the allele specifying tall stems in pea plants is dominant over the allele specifying short stems, then pea plants that inherit one tall allele from one parent and one short allele from the other parent will also have tall stems. Mendel's work demonstrated that alleles assort independently in the production of gametes, or germ cells, ensuring variation in the next generation. Although Mendelian inheritance remains a good model for many traits determined by single genes (including a number of well-known genetic disorders) it does not include the physical processes of DNA replication and cell division.","When paired with any other allele for the same trait, what do dominant alleles give rise to?",their corresponding phenotypes,1,NUM,Phenotypes,0.8699406981468201
"There are many important organozinc compounds. Organozinc chemistry is the science of organozinc compounds describing their physical properties, synthesis and reactions. Among important applications is the Frankland-Duppa Reaction in which an oxalate ester(ROCOCOOR) reacts with an alkyl halide R'X, zinc and hydrochloric acid to the α-hydroxycarboxylic esters RR'COHCOOR, the Reformatskii reaction which converts α-halo-esters and aldehydes to β-hydroxy-esters, the Simmons–Smith reaction in which the carbenoid (iodomethyl)zinc iodide reacts with alkene(or alkyne) and converts them to cyclopropane, the Addition reaction of organozinc compounds to carbonyl compounds. The Barbier reaction (1899) is the zinc equivalent of the magnesium Grignard reaction and is better of the two. In presence of just about any water the formation of the organomagnesium halide will fail, whereas the Barbier reaction can even take place in water. On the downside organozincs are much less nucleophilic than Grignards, are expensive and difficult to handle. Commercially available diorganozinc compounds are dimethylzinc, diethylzinc and diphenylzinc. In one study the active organozinc compound is obtained from much cheaper organobromine precursors:",When will organomagnesium halide formation fail?,presence of just about any water,1,NUM,In water,0.8671413660049438
"Originally, every electronic component had wire leads, and the PCB had holes drilled for each wire of each component. The components' leads were then passed through the holes and soldered to the PCB trace. This method of assembly is called through-hole construction. In 1949, Moe Abramson and Stanislaus F. Danko of the United States Army Signal Corps developed the Auto-Sembly process in which component leads were inserted into a copper foil interconnection pattern and dip soldered. The patent they obtained in 1956 was assigned to the U.S. Army. With the development of board lamination and etching techniques, this concept evolved into the standard printed circuit board fabrication process in use today. Soldering could be done automatically by passing the board over a ripple, or wave, of molten solder in a wave-soldering machine. However, the wires and holes are wasteful since drilling holes is expensive and the protruding wires are merely cut off.",What year was the patent for the Auto-Sembly process granted?,1956,1,NUM,1956,0.9999998807907104
"Alleles at a locus may be dominant or recessive; dominant alleles give rise to their corresponding phenotypes when paired with any other allele for the same trait, whereas recessive alleles give rise to their corresponding phenotype only when paired with another copy of the same allele. For example, if the allele specifying tall stems in pea plants is dominant over the allele specifying short stems, then pea plants that inherit one tall allele from one parent and one short allele from the other parent will also have tall stems. Mendel's work demonstrated that alleles assort independently in the production of gametes, or germ cells, ensuring variation in the next generation. Although Mendelian inheritance remains a good model for many traits determined by single genes (including a number of well-known genetic disorders) it does not include the physical processes of DNA replication and cell division.",When do alleles assort independently?,in the production of gametes,1,NUM,When genes are on different chromosomes or far apart on the same chromosome.,0.832284152507782
"In the late 20th century a new concept was added to those included in the compass of both structure and function, the consideration of sustainability, hence sustainable architecture. To satisfy the contemporary ethos a building should be constructed in a manner which is environmentally friendly in terms of the production of its materials, its impact upon the natural and built environment of its surrounding area and the demands that it makes upon non-sustainable power sources for heating, cooling, water and waste management and lighting.","When was the conecept, Sustainable architecture used?",late 20th century,1,NUM,Late 20th century,0.9996089935302734
"Apart from the United Nations headquarters, the Swiss Confederation is host to many UN agencies, like the World Health Organization (WHO), the International Labour Organization (ILO), the International Telecommunication Union (ITU), the United Nations High Commissioner for Refugees (UNHCR) and about 200 other international organisations, including the World Trade Organization and the World Intellectual Property Organization. The annual meetings of the World Economic Forum in Davos bring together top international business and political leaders from Switzerland and foreign countries to discuss important issues facing the world, including health and the environment. Additionally the headquarters of the Bank for International Settlements (BIS) are located in Basel since 1930.",What does the ILO stand for?,International Labour Organization,2,ABBR,International Labour Organization,1.0
"Many students are involved in community service in one form or another. Annual events include Dance Marathon, a thirty-hour event that raised more than a million dollars for charity in 2011; and Project Pumpkin, a Halloween celebration hosted by the Northwestern Community Development Corps (NCDC) to which more than 800 local children are invited for an afternoon of games and sweets. NCDC's work is to connect hundreds of student volunteers to some twenty volunteer sites in Evanston and Chicago throughout the year. Many students have assisted with the Special Olympics and have taken alternative spring break trips to hundreds of service sites across the United States. Northwestern students also participate in the Freshman Urban Program, a program for students interested in community service. A large and growing number of students participate in the university's Global Engagement Summer Institute (GESI), a group service-learning expedition in Asia, Africa, or Latin America, in conjunction with the Foundation for Sustainable Development. Several internationally recognized non-profit organizations have originated at Northwestern including the World Health Imaging, Informatics and Telemedicine Alliance, a spin-off from an engineering student's honors thesis.",What does NCDC stand for?,Northwestern Community Development Corps,2,ABBR,National Cooperative Development Corporation,0.918780505657196
"When the board has no embedded components it is more correctly called a printed wiring board (PWB) or etched wiring board. However, the term printed wiring board has fallen into disuse. A PCB populated with electronic components is called a printed circuit assembly (PCA), printed circuit board assembly or PCB assembly (PCBA). The IPC preferred term for assembled boards is circuit card assembly (CCA), and for assembled backplanes it is backplane assemblies. The term PCB is used informally both for bare and assembled boards.",What's the abbreviation for a printed wiring board?,PWB,2,ABBR,PWB,1.0
"RIBA Visiting Boards continue to assess courses for exemption from the RIBA's examinations in architecture. Under arrangements made in 2011 the validation criteria are jointly held by the RIBA and the Architects Registration Board, but unlike the ARB, the RIBA also validates courses outside the UK.",What does ARB stand for?,Architects Registration Board,2,ABBR,Anti-Radiation Bomb,0.8195133209228516
"Other educational institutions in Armenia include the American University of Armenia and the QSI International School of Yerevan. The American University of Armenia has graduate programs in Business and Law, among others. The institution owes its existence to the combined efforts of the Government of Armenia, the Armenian General Benevolent Union, U.S. Agency for International Development, and the University of California. The extension programs and the library at AUA form a new focal point for English-language intellectual life in the city. Armenia also hosts a deployment of OLPC – One Laptopschool Per child XO laptop-tablet schools.",What does OLPC stand for?,One Laptopschool Per child,2,ABBR,One Laptop per Child,0.9241408109664917
"Greece is classified as an advanced, high-income economy, and was a founding member of the Organisation for Economic Co-operation and Development (OECD) and of the Organization of the Black Sea Economic Cooperation (BSEC). The country joined what is now the European Union in 1981. In 2001 Greece adopted the euro as its currency, replacing the Greek drachma at an exchange rate of 340.75 drachmae per euro. Greece is a member of the International Monetary Fund and of the World Trade Organization, and ranked 34th on Ernst & Young's Globalization Index 2011.",What does the abbreviation OECD expand to?,Organisation for Economic Co-operation and Development,2,ABBR,Organisation for Economic Co-operation and Development,1.0
"The main active ingredient of beer is alcohol, and therefore, the health effects of alcohol apply to beer. Consumption of small quantities of alcohol (less than one drink in women and two in men) is associated with a decreased risk of cardiac disease, stroke and diabetes mellitus. The long term health effects of continuous, moderate or heavy alcohol consumption include the risk of developing alcoholism and alcoholic liver disease. A total of 3.3 million deaths (5.9% of all deaths) are believed to be due to alcohol. Alcoholism often reduces a person's life expectancy by around ten years. Alcohol use is the third leading cause of early death in the United States.",What is beers primary active ingredient?,alcohol,2,DESC,Ethanol,0.8117923736572266
"Until 18 December 2010, Eton College was an exempt charity under English law (Charities Act 1993, Schedule 2). Under the provisions of the Charities Act 2006, it is now an excepted charity, and fully registered with the Charities Commission, and is now one of the 100 largest charities in the UK. As a charity, it benefits from substantial tax breaks. It was calculated by the late David Jewell, former Master of Haileybury, that in 1992 such tax breaks saved the School about £1,945 per pupil per year, although he had no direct connection with the School. This subsidy has declined since the 2001 abolition by the Labour Government of state-funded scholarships (formerly known as ""assisted places"") to independent schools. However, no child attended Eton on this scheme, meaning that the actual level of state assistance to the School has always been lower. Eton's retiring Head Master, Tony Little, has claimed that the benefits that Eton provides to the local community free of charge (use of its facilities, etc.) have a higher value than the tax breaks it receives as a result of its charitable status. The fee for the academic year 2010–2011 was £29,862 (approximately US$48,600 or €35,100 as of March 2011), although the sum is considerably lower for those pupils on bursaries and scholarships.",What service does Eton provide to the local community free of charge?,use of its facilities,2,DESC,Brent-Eton Summer School,0.8219298124313354
"On March 30, 2015, it was announced that Beyoncé is a co-owner, with various other music artists, in the music streaming service Tidal. The service specialises in lossless audio and high definition music videos. Beyoncé's husband Jay Z acquired the parent company of Tidal, Aspiro, in the first quarter of 2015. Including Beyoncé and Jay-Z, sixteen artist stakeholders (such as Kanye West, Rihanna, Madonna, Chris Martin, Nicki Minaj and more) co-own Tidal, with the majority owning a 3% equity stake. The idea of having an all artist owned streaming service was created by those involved to adapt to the increased demand for streaming within the current music industry, and to rival other streaming services such as Spotify, which have been criticised for their low payout of royalties. ""The challenge is to get everyone to respect music again, to recognize its value"", stated Jay-Z on the release of Tidal.",What is a criticism of other streaming services?,low payout of royalties,2,DESC,Content removal,0.8692032098770142
"Agricultural protectionism—a rare exception to Switzerland's free trade policies—has contributed to high food prices. Product market liberalisation is lagging behind many EU countries according to the OECD. Nevertheless, domestic purchasing power is one of the best in the world. Apart from agriculture, economic and trade barriers between the European Union and Switzerland are minimal and Switzerland has free trade agreements worldwide. Switzerland is a member of the European Free Trade Association (EFTA).",What is Switzerland's world ranking in domestic purchasing power?,one of the best,2,DESC,Eighth,0.854183554649353
"Switzerland has an overwhelmingly private sector economy and low tax rates by Western World standards; overall taxation is one of the smallest of developed countries. Switzerland is a relatively easy place to do business, currently ranking 20th of 189 countries in the Ease of Doing Business Index. The slow growth Switzerland experienced in the 1990s and the early 2000s has brought greater support for economic reforms and harmonization with the European Union. According to Credit Suisse, only about 37% of residents own their own homes, one of the lowest rates of home ownership in Europe. Housing and food price levels were 171% and 145% of the EU-25 index in 2007, compared to 113% and 104% in Germany.",How do Switzerland's tax rates compare by Western World standards?,low,2,DESC,Low,0.9997245073318481
"Diagnosis of infectious disease sometimes involves identifying an infectious agent either directly or indirectly. In practice most minor infectious diseases such as warts, cutaneous abscesses, respiratory system infections and diarrheal diseases are diagnosed by their clinical presentation and treated without knowledge of the specific causative agent. Conclusions about the cause of the disease are based upon the likelihood that a patient came in contact with a particular agent, the presence of a microbe in a community, and other epidemiological considerations. Given sufficient effort, all known infectious agents can be specifically identified. The benefits of identification, however, are often greatly outweighed by the cost, as often there is no specific treatment, the cause is obvious, or the outcome of an infection is benign.",Why is it often not worth bothering to identify an infectious agent?,greatly outweighed by the cost,2,DESC,Cost outweighs benefits,0.8999010920524597
"Brain areas involved in the neuroanatomy of memory such as the hippocampus, the amygdala, the striatum, or the mammillary bodies are thought to be involved in specific types of memory. For example, the hippocampus is believed to be involved in spatial learning and declarative learning, while the amygdala is thought to be involved in emotional memory. Damage to certain areas in patients and animal models and subsequent memory deficits is a primary source of information. However, rather than implicating a specific area, it could be that damage to adjacent areas, or to a pathway traveling through the area is actually responsible for the observed deficit. Further, it is not sufficient to describe memory, and its counterpart, learning, as solely dependent on specific brain regions. Learning and memory are attributed to changes in neuronal synapses, thought to be mediated by long-term potentiation and long-term depression.",Can you pin point certain areas of the brain to certain memories. ,"it is not sufficient to describe memory, and its counterpart, learning, as solely dependent on specific brain regions",2,ENTY,No,0.8095636367797852
"In many people, the infection waxes and wanes. Tissue destruction and necrosis are often balanced by healing and fibrosis. Affected tissue is replaced by scarring and cavities filled with caseous necrotic material. During active disease, some of these cavities are joined to the air passages bronchi and this material can be coughed up. It contains living bacteria, so can spread the infection. Treatment with appropriate antibiotics kills bacteria and allows healing to take place. Upon cure, affected areas are eventually replaced by scar tissue.",What material can sometimes be expelled by coughing if the cavities it's stored in connect to bronchi?,caseous necrotic material,2,ENTY,Mucus,0.7873039841651917
"In many places in Switzerland, household rubbish disposal is charged for. Rubbish (except dangerous items, batteries etc.) is only collected if it is in bags which either have a payment sticker attached, or in official bags with the surcharge paid at the time of purchase. This gives a financial incentive to recycle as much as possible, since recycling is free. Illegal disposal of garbage is not tolerated but usually the enforcement of such laws is limited to violations that involve the unlawful disposal of larger volumes at traffic intersections and public areas. Fines for not paying the disposal fee range from CHF 200–500.",What does Switzerland charge for the disposal of in order to encourage recycling?,Rubbish,2,ENTY,Household rubbish,0.8994014263153076
"A charity is a nonprofit organisation that meets stricter criteria regarding its purpose and the method in which it makes decisions and reports its finances. For example, a charity is generally not allowed to pay its Trustees. In England and Wales, charities may be registered with the Charity Commission. In Scotland, the Office of the Scottish Charity Regulator serves the same function. Other organizations which are classified as nonprofit organizations elsewhere, such as trade unions, are subject to separate regulations, and are not regarded as ""charities"" in the technical sense.",Is a trade union governed by the Office of the Scottish Charity Regulator?,"not regarded as ""charities"" in the technical sense",2,ENTY,No,0.8262593746185303
